destination,number_of_days,number_of_people,travel_mode,estimated_cost
Singapore,3,1,flight,46495.32
Jaipur,4,2,flight,17703.91
Bali,3,7,bus,192700.36
Jaipur,5,1,flight,10582.02
Singapore,10,7,bus,601073.98
Manali,2,3,flight,18202.89
Manali,4,4,train,31242.66
Paris,3,6,train,318538.15
Mumbai,9,2,train,34301.03
Manali,12,6,flight,172582.49
Delhi,2,4,train,16131.45
Jaipur,3,7,train,35720.0
New York,4,6,train,331882.29
Manali,12,2,flight,58298.62
Bali,5,3,train,151998.33
Singapore,10,4,flight,543464.93
Mumbai,5,1,train,10139.85
Delhi,5,6,bus,43424.05
Paris,12,8,bus,1238492.12
Jaipur,10,5,flight,100897.89
Dubai,8,6,bus,358185.49
Goa,10,8,bus,160546.57
Delhi,4,3,flight,28182.78
Delhi,8,7,flight,124438.69
Bali,6,1,flight,81332.51
Singapore,10,5,flight,679656.78
Manali,8,3,train,43457.57
Manali,10,3,flight,74232.93
Singapore,6,4,bus,213982.52
Goa,10,1,flight,31463.64
Mumbai,3,6,train,39111.88
Jaipur,11,2,bus,27919.9
Delhi,10,3,bus,40931.48
Bali,4,5,flight,285643.73
Paris,5,4,flight,439896.13
Singapore,12,6,train,729694.25
Tokyo,3,4,bus,159219.93
Mumbai,11,4,flight,112287.54
Delhi,12,1,bus,15919.43
Mumbai,7,2,flight,36886.78
Singapore,9,4,flight,489584.33
Dubai,11,8,bus,639171.41
Paris,5,2,bus,139936.76
New York,8,7,train,734530.91
Mumbai,12,2,bus,38595.92
New York,3,4,bus,147535.98
Tokyo,4,7,bus,357287.93
Jaipur,3,8,flight,54522.28
Singapore,10,1,bus,87098.76
Jaipur,4,7,train,45544.52
Paris,2,3,train,113553.33
Paris,6,8,train,769618.24
Bali,12,8,bus,766977.75
Jaipur,2,1,flight,5000
Mumbai,11,8,flight,229325.43
Bali,4,1,flight,55785.82
Goa,3,2,flight,21916.34
Paris,3,4,flight,286605.39
Dubai,3,7,flight,276632.66
Bali,7,5,bus,294102.42
New York,5,5,train,335246.03
Singapore,6,8,train,511904.78
Delhi,2,8,flight,43571.96
Delhi,3,4,flight,29356.74
New York,3,4,train,174069.89
Tokyo,10,5,flight,948102.87
Singapore,10,1,flight,137885.61
Manali,12,2,bus,36300.18
Delhi,10,3,train,47611.22
Jaipur,7,4,flight,58066.91
Manali,10,8,train,146601.27
Mumbai,3,7,train,45360.98
New York,4,5,bus,238866.24
Bali,8,1,bus,65329.28
Goa,10,1,train,23488.0
Goa,8,3,bus,48247.36
Mumbai,7,4,flight,73799.27
Delhi,7,7,flight,109250.34
Jaipur,4,3,train,19251.57
New York,8,4,train,410954.97
Delhi,8,1,train,12866.96
Tokyo,7,5,bus,419149.21
Singapore,5,7,train,373229.47
Delhi,6,6,flight,80820.3
Singapore,10,6,bus,510038.08
Manali,4,5,bus,33201.56
Paris,7,6,train,667670.62
Bali,3,7,flight,307546.21
Mumbai,8,1,flight,21287.86
Bali,12,4,train,454461.39
Singapore,7,6,flight,594813.46
Manali,10,5,flight,121872.89
Paris,6,3,bus,245296.92
Paris,12,3,flight,744411.34
Paris,10,1,train,153437.82
Paris,11,6,train,1011779.92
Singapore,5,8,flight,573945.7
Delhi,6,6,bus,51358.47
Jaipur,12,5,bus,75959.73
Goa,2,1,bus,5027.44
Dubai,3,8,train,236306.05
Dubai,5,7,train,315447.5
Goa,12,1,bus,23853.09
Jaipur,4,8,bus,44344.24
Delhi,9,3,train,43643.31
Bali,11,6,train,631226.09
Bali,8,8,bus,533249.59
Tokyo,9,5,bus,538598.56
Manali,10,8,flight,194004.41
Tokyo,3,5,bus,200281.4
New York,10,2,bus,214984.18
Paris,4,4,bus,228659.52
New York,10,8,train,1008973.81
Paris,8,1,flight,168716.12
Mumbai,7,5,train,69580.05
Paris,10,4,train,612500.6
Paris,9,1,train,139237.11
Singapore,8,3,train,249627.82
Dubai,10,1,train,85434.88
Singapore,2,2,flight,67826.93
Tokyo,4,1,train,60230.75
Jaipur,9,6,train,81695.26
Paris,6,7,train,681756.69
Tokyo,2,1,train,34164.98
Delhi,12,1,bus,16346.3
Jaipur,2,3,bus,9354.42
Singapore,3,4,train,139529.97
New York,4,2,bus,96182.5
Delhi,11,1,train,17514.74
Paris,8,4,bus,427623.24
Singapore,5,2,flight,146107.16
Singapore,11,2,flight,301356.23
New York,10,7,flight,1203020.61
Bali,12,6,bus,586724.28
Tokyo,3,7,train,333501.04
Tokyo,4,7,bus,362200.23
Singapore,6,8,train,504423.18
Dubai,6,6,bus,274012.02
Delhi,6,8,bus,68339.69
Dubai,11,7,train,643175.72
New York,4,8,bus,377787.44
Manali,7,5,flight,88313.57
Manali,10,1,flight,24770.29
Delhi,5,7,train,59423.2
Jaipur,9,8,train,109029.81
Delhi,6,4,train,40129.57
Manali,12,6,train,129236.99
New York,8,6,train,626590.14
Manali,6,5,bus,47499.47
Jaipur,7,2,flight,28948.11
Goa,5,4,flight,67090.18
Dubai,10,5,bus,365713.34
Manali,5,6,bus,48694.92
Bali,4,5,bus,180393.28
Bali,6,3,flight,245071.87
Tokyo,3,1,flight,63643.06
Tokyo,9,6,bus,648729.69
Manali,9,2,bus,27805.43
Delhi,11,1,bus,14697.43
Dubai,6,2,bus,89404.78
Paris,11,4,flight,908921.44
Tokyo,6,7,train,606395.93
Mumbai,11,2,bus,35783.23
Manali,12,2,bus,36273.2
Bali,3,3,bus,83537.6
Dubai,9,5,bus,325456.92
Manali,9,2,flight,43939.27
Manali,12,4,train,85025.89
Jaipur,12,3,train,53650.62
Delhi,2,3,train,11959.0
Dubai,6,8,bus,361420.29
Manali,8,5,flight,99377.81
Tokyo,3,1,train,47783.86
Dubai,6,1,bus,44852.26
Singapore,11,1,flight,150851.97
Dubai,2,3,train,63636.18
Tokyo,6,3,flight,349449.06
Tokyo,3,8,train,378556.27
New York,12,2,bus,256742.37
Tokyo,6,7,flight,805597.61
Delhi,7,5,train,56713.91
Paris,10,1,flight,210783.85
Tokyo,8,1,bus,95635.37
Dubai,9,8,bus,520291.4
Bali,4,5,train,211640.76
Tokyo,3,1,flight,64266.72
Jaipur,4,5,flight,43301.39
Paris,3,4,bus,179736.88
Delhi,12,3,train,57663.86
Manali,10,5,train,91434.03
Tokyo,5,8,flight,784803.26
Jaipur,11,3,bus,41311.32
Paris,7,5,bus,468359.96
Manali,11,8,bus,134458.04
Tokyo,7,6,flight,811897.67
Paris,9,6,bus,723910.18
Jaipur,11,7,bus,98080.97
Paris,2,6,flight,310990.17
Paris,8,3,train,381522.05
Goa,10,6,bus,120834.39
Tokyo,3,8,bus,324813.21
Paris,12,3,bus,467305.64
Manali,7,7,flight,121349.91
New York,12,7,train,1066642.1
Tokyo,10,1,flight,184487.54
Singapore,12,5,bus,514524.78
Paris,3,2,train,104790.54
Manali,2,1,train,5000
Manali,7,6,train,77200.31
Bali,8,3,bus,196582.37
Dubai,8,4,train,280228.13
Goa,5,8,flight,133253.19
Manali,12,1,train,21763.84
Singapore,10,3,bus,257545.25
New York,11,5,flight,956729.81
Manali,9,5,bus,70765.76
Tokyo,3,4,train,190209.53
Dubai,6,5,bus,229341.9
Singapore,8,5,bus,349934.51
Singapore,2,8,train,203066.03
Jaipur,11,6,bus,83521.92
Dubai,6,3,flight,212856.15
Singapore,12,1,train,121215.51
Mumbai,11,6,flight,167978.78
Manali,7,7,bus,76685.18
Bali,7,5,bus,290479.09
Tokyo,6,6,bus,440476.12
Delhi,4,4,flight,37918.35
Paris,10,6,bus,794435.45
Mumbai,6,2,train,23845.62
Singapore,6,7,flight,604889.43
Delhi,12,4,train,74818.48
Bali,7,4,flight,366918.25
Tokyo,6,7,bus,508818.78
Mumbai,6,8,bus,80412.39
Bali,4,7,train,291816.38
Bali,8,3,train,234635.46
Tokyo,11,7,train,1045288.28
New York,5,8,train,549731.43
New York,3,6,flight,359055.41
Singapore,7,1,train,72186.37
Delhi,9,2,flight,38744.95
Singapore,11,1,bus,94883.15
Jaipur,4,4,bus,22353.01
Bali,5,4,bus,172000.79
Goa,11,1,train,25905.58
Goa,4,5,bus,42968.72
Mumbai,4,1,train,8442.82
Jaipur,11,6,bus,82368.1
Mumbai,4,7,flight,78179.73
Delhi,9,8,train,115845.99
Delhi,9,4,flight,77094.21
Singapore,10,5,train,508050.37
Mumbai,2,8,train,38075.6
Delhi,9,8,bus,99608.99
New York,11,3,bus,352492.23
Dubai,12,6,train,616210.14
Bali,6,8,flight,648424.37
Delhi,3,4,train,21868.17
Jaipur,8,6,train,72439.25
Delhi,7,7,train,80722.87
New York,4,8,bus,374786.83
Delhi,3,7,bus,32815.28
New York,4,1,flight,76361.93
Bali,7,2,train,137095.21
Singapore,8,1,train,82422.54
New York,3,4,bus,149620.24
Jaipur,3,6,flight,41226.55
Manali,11,4,train,80040.3
Dubai,11,1,flight,127439.62
Manali,2,3,train,13597.18
Manali,7,6,bus,65691.57
Goa,11,7,bus,150860.09
Singapore,2,2,flight,68034.66
Paris,8,8,train,993087.33
Manali,7,2,bus,21880.06
Dubai,2,2,train,42327.64
Paris,9,8,train,1111782.49
Bali,3,6,train,194799.19
Singapore,12,8,flight,1304397.59
Mumbai,5,7,flight,94822.85
Jaipur,6,4,bus,31904.85
Manali,7,2,bus,22106.77
Paris,4,3,train,202472.72
Jaipur,10,6,bus,75806.2
Mumbai,8,1,train,15766.72
New York,11,7,flight,1317321.96
Singapore,8,5,bus,348248.74
New York,4,8,flight,610229.1
Delhi,8,2,bus,22014.94
Paris,10,2,train,312283.09
New York,5,6,bus,341385.61
Singapore,3,4,train,138080.43
Singapore,4,4,bus,148601.93
Jaipur,4,3,flight,26029.62
Singapore,9,8,flight,997809.05
Tokyo,12,6,flight,1324697.66
Tokyo,3,8,train,381096.21
Manali,11,1,train,19809.36
Manali,9,8,bus,110071.08
Manali,3,2,flight,16800.78
Paris,9,1,train,141642.09
Dubai,12,4,train,406075.19
Bali,4,1,train,41352.2
New York,3,3,bus,110844.76
Tokyo,9,3,train,374914.44
Manali,8,7,train,103487.45
Mumbai,12,6,bus,115533.67
Bali,12,7,train,791020.59
Singapore,11,3,train,327856.45
Singapore,4,6,train,268768.89
Singapore,8,3,flight,334893.8
Delhi,6,7,flight,95088.54
Goa,12,2,flight,75525.25
Bali,7,1,train,68455.21
Jaipur,7,8,bus,72230.54
Goa,4,2,train,20671.41
Delhi,10,1,flight,21460.64
Dubai,4,7,bus,219097.25
Dubai,4,8,bus,252283.52
Singapore,5,8,flight,575949.75
Tokyo,5,4,train,297903.77
Tokyo,5,6,flight,602925.54
Tokyo,9,5,train,627304.7
Paris,4,4,flight,360145.28
Manali,2,8,train,36098.97
Delhi,10,2,train,31551.14
Goa,6,8,flight,156332.39
Paris,3,4,train,214142.78
Mumbai,8,1,train,15570.94
Jaipur,8,2,train,24019.85
New York,3,6,bus,220951.41
Manali,9,3,flight,66378.68
Dubai,2,2,bus,35776.1
Goa,10,7,bus,140563.52
Jaipur,6,2,bus,15702.81
Singapore,11,8,bus,743804.07
Tokyo,11,1,flight,204551.81
Jaipur,4,5,train,32063.28
New York,5,7,bus,405399.27
Delhi,10,6,bus,82580.7
Bali,10,1,train,96923.51
Mumbai,12,7,train,158212.03
Mumbai,7,2,train,27326.12
Singapore,12,2,flight,326761.85
New York,4,1,train,55877.03
Singapore,4,8,flight,476782.72
Goa,4,2,flight,27849.86
Tokyo,2,5,bus,144408.73
Jaipur,2,6,train,22270.27
Bali,9,5,bus,371917.29
Jaipur,6,6,bus,48002.05
New York,6,2,train,159298.12
Paris,9,7,train,993395.01
Tokyo,9,6,flight,1009033.63
