destination,number_of_days,number_of_people,travel_mode,travel_type,destination_count,estimated_food_cost,actual_food_cost,estimated_total_cost,actual_total_cost,source_role,trip_id,created_at_utc
dubai,4,5,flight,family,1,13864.55,12423.6,248484.51,274876.53,traveler,1,2024-01-01T00:00:00+00:00
manali,8,6,train,friends,1,20932.0,16651.29,88793.76,85350.22,traveler,2,2024-01-01T00:07:00+00:00
jaipur,9,3,bus,friends,1,11952.74,12710.18,34442.38,33124.04,traveler,3,2024-01-01T00:14:00+00:00
dubai,7,4,bus,family,1,17660.58,20186.61,209945.99,208952.98,traveler,4,2024-01-01T00:21:00+00:00
manali,12,6,bus,friends,1,27345.53,22704.79,108591.2,123500.6,traveler,5,2024-01-01T00:28:00+00:00
new york,9,2,train,friends,2,16264.57,20916.57,229994.06,231371.64,traveler,6,2024-01-01T00:35:00+00:00
dubai,12,2,flight,friends,2,16775.6,18121.39,276874.05,303808.39,traveler,7,2024-01-01T00:42:00+00:00
dubai,5,2,flight,couple,1,6652.34,5994.1,122477.3,113693.28,traveler,8,2024-01-01T00:49:00+00:00
singapore,7,6,flight,family,1,38483.6,34209.76,586525.1,571717.56,agent,9,2024-01-01T00:56:00+00:00
goa,6,4,bus,family,2,15360.64,17805.23,49778.52,47078.17,traveler,10,2024-01-01T01:03:00+00:00
tokyo,4,5,train,friends,2,10553.29,11988.53,305814.34,347404.64,agent,11,2024-01-01T01:10:00+00:00
dubai,11,6,train,family,1,38943.12,35797.5,553113.39,530477.33,agent,12,2024-01-01T01:17:00+00:00
manali,8,5,bus,friends,1,17279.61,17033.0,62585.92,72353.91,traveler,13,2024-01-01T01:24:00+00:00
goa,9,7,train,family,1,39835.67,36514.4,150606.98,160198.25,agent,14,2024-01-01T01:31:00+00:00
goa,6,1,bus,solo,1,3948.81,5128.39,12408.24,12937.67,traveler,15,2024-01-01T01:38:00+00:00
manali,5,4,train,friends,1,9688.0,11546.95,37930.51,38621.03,traveler,16,2024-01-01T01:45:00+00:00
jaipur,7,2,flight,couple,5,10592.83,13611.37,28948.11,33030.32,traveler,17,2024-01-01T01:52:00+00:00
singapore,12,3,bus,family,2,31943.2,29347.78,307256.78,331674.26,traveler,18,2024-01-01T01:59:00+00:00
mumbai,9,8,bus,family,1,43155.03,53315.61,119826.96,116681.37,traveler,19,2024-01-01T02:06:00+00:00
goa,4,4,train,friends,3,10293.38,9626.28,40449.19,43640.87,traveler,20,2024-01-01T02:13:00+00:00
tokyo,3,4,bus,friends,2,6019.16,7132.02,163330.76,171252.14,traveler,21,2024-01-01T02:20:00+00:00
paris,5,3,flight,friends,1,13856.82,17139.99,329257.45,373004.69,traveler,22,2024-01-01T02:27:00+00:00
new york,8,8,flight,family,3,74963.79,61810.63,1132891.63,1173763.33,traveler,23,2024-01-01T02:34:00+00:00
jaipur,10,2,bus,friends,3,9247.21,9498.24,25397.85,26767.94,traveler,24,2024-01-01T02:41:00+00:00
mumbai,2,8,bus,friends,1,6733.05,7139.95,32379.09,35758.84,traveler,25,2024-01-01T02:48:00+00:00
bali,10,8,bus,family,5,59000.28,59461.19,650999.16,680242.85,traveler,26,2024-01-01T02:55:00+00:00
mumbai,9,6,flight,family,1,40993.91,36880.56,141784.13,136348.25,traveler,27,2024-01-01T03:02:00+00:00
new york,6,8,train,family,1,44556.77,54671.62,636198.56,585200.92,traveler,28,2024-01-01T03:09:00+00:00
manali,9,3,train,family,1,15813.33,20027.06,49752.58,52732.36,traveler,29,2024-01-01T03:16:00+00:00
tokyo,5,6,bus,friends,3,13850.94,11501.88,375588.07,383360.61,traveler,30,2024-01-01T03:23:00+00:00
bali,10,5,train,family,2,39481.31,51000.61,477961.91,443336.92,traveler,31,2024-01-01T03:30:00+00:00
new york,5,1,flight,solo,1,6542.38,5949.0,91400.88,87128.67,traveler,32,2024-01-01T03:37:00+00:00
dubai,9,8,flight,family,1,44313.89,55839.85,827105.44,847019.33,agent,33,2024-01-01T03:44:00+00:00
paris,9,5,train,family,1,43528.14,52875.13,706635.7,827695.79,agent,34,2024-01-01T03:51:00+00:00
mumbai,10,3,flight,family,1,24926.11,22212.87,78230.72,79192.28,traveler,35,2024-01-01T03:58:00+00:00
bali,3,3,train,friends,3,5902.07,7009.99,98222.45,100913.98,traveler,36,2024-01-01T04:05:00+00:00
goa,3,1,flight,solo,3,3041.09,3250.93,10829.25,11924.68,traveler,37,2024-01-01T04:12:00+00:00
manali,11,5,train,family,4,37171.28,39473.72,99585.26,110483.19,traveler,38,2024-01-01T04:19:00+00:00
singapore,8,1,train,solo,2,7941.62,9715.89,82256.53,77656.84,agent,39,2024-01-01T04:26:00+00:00
dubai,6,2,flight,couple,1,8688.34,9827.47,144307.11,139380.05,traveler,40,2024-01-01T04:33:00+00:00
paris,2,3,bus,family,1,5382.07,5931.47,98199.84,99906.85,traveler,41,2024-01-01T04:40:00+00:00
singapore,7,7,train,family,4,42411.12,48875.41,503543.99,486842.48,traveler,42,2024-01-01T04:47:00+00:00
new york,9,2,flight,friends,1,17040.53,19953.95,312463.16,287563.62,traveler,43,2024-01-01T04:54:00+00:00
singapore,6,3,flight,family,5,20949.91,18663.02,253814.28,247280.11,agent,44,2024-01-01T05:01:00+00:00
dubai,4,5,train,friends,3,10727.29,9247.22,188742.55,213929.98,traveler,45,2024-01-01T05:08:00+00:00
mumbai,6,5,bus,family,5,23119.34,18127.14,51071.49,57648.94,traveler,46,2024-01-01T05:15:00+00:00
new york,12,2,flight,friends,4,25345.38,21290.7,405860.49,377438.11,traveler,47,2024-01-01T05:22:00+00:00
new york,6,5,flight,family,2,36333.12,32186.45,531871.55,573137.67,traveler,48,2024-01-01T05:29:00+00:00
new york,9,4,flight,friends,4,39837.68,32985.41,621739.31,633304.42,traveler,49,2024-01-01T05:36:00+00:00
tokyo,4,2,train,couple,2,5370.33,4920.38,121788.85,134886.59,traveler,50,2024-01-01T05:43:00+00:00
jaipur,10,5,flight,family,1,29490.58,36545.18,101814.64,117402.46,traveler,51,2024-01-01T05:50:00+00:00
tokyo,5,3,bus,family,2,9249.19,7827.33,189875.64,187276.69,agent,52,2024-01-01T05:57:00+00:00
manali,2,4,bus,family,2,4943.54,4396.0,15408.6,14944.31,traveler,53,2024-01-01T06:04:00+00:00
manali,5,2,bus,friends,3,5062.36,5582.48,16373.74,15444.94,agent,54,2024-01-01T06:11:00+00:00
goa,2,3,flight,family,2,5456.42,6756.88,23913.31,21687.94,traveler,55,2024-01-01T06:18:00+00:00
mumbai,10,5,train,family,4,41066.98,50484.18,96847.99,109148.63,traveler,56,2024-01-01T06:25:00+00:00
dubai,3,6,train,friends,1,9154.48,11227.69,173754.64,167200.87,agent,57,2024-01-01T06:32:00+00:00
dubai,10,8,train,family,1,47118.11,42328.54,688340.72,624067.62,traveler,58,2024-01-01T06:39:00+00:00
mumbai,4,7,train,family,3,20920.25,19354.27,57985.85,62602.39,traveler,59,2024-01-01T06:46:00+00:00
delhi,11,2,flight,friends,2,16024.69,13460.38,46739.4,54765.12,traveler,60,2024-01-01T06:53:00+00:00
jaipur,2,4,bus,family,1,3968.0,3991.7,12464.71,13760.95,traveler,61,2024-01-01T07:00:00+00:00
tokyo,4,5,train,family,1,12384.26,13372.84,305551.37,296788.86,traveler,62,2024-01-01T07:07:00+00:00
manali,9,1,bus,solo,1,5695.41,6037.1,14105.35,15536.2,agent,63,2024-01-01T07:14:00+00:00
manali,12,1,bus,solo,2,7303.07,5962.13,18086.02,19641.17,traveler,64,2024-01-01T07:21:00+00:00
manali,11,1,bus,solo,1,6880.18,7941.6,16853.35,16585.22,traveler,65,2024-01-01T07:28:00+00:00
paris,6,5,flight,family,1,29632.58,25074.78,646266.97,657722.03,agent,66,2024-01-01T07:35:00+00:00
paris,7,3,bus,family,4,21734.54,20354.26,285321.04,300563.58,traveler,67,2024-01-01T07:42:00+00:00
new york,8,7,flight,family,1,58647.78,65711.72,992552.31,1022524.11,traveler,68,2024-01-01T07:49:00+00:00
jaipur,4,5,train,family,1,11814.71,14105.97,32824.05,31101.23,traveler,69,2024-01-01T07:56:00+00:00
paris,9,2,bus,couple,2,15039.34,18131.13,241050.4,267642.76,traveler,70,2024-01-01T08:03:00+00:00
paris,11,2,train,couple,1,18056.62,16383.1,336349.79,347462.17,agent,71,2024-01-01T08:10:00+00:00
new york,11,7,bus,family,1,65590.25,57791.98,838726.16,918387.69,traveler,72,2024-01-01T08:17:00+00:00
paris,10,7,flight,family,2,64119.67,75052.17,1481093.56,1652327.13,traveler,73,2024-01-01T08:24:00+00:00
singapore,5,4,train,friends,1,14952.86,15690.61,215221.47,196725.58,traveler,74,2024-01-01T08:31:00+00:00
paris,2,5,bus,friends,1,6819.63,7686.68,165367.64,194573.2,traveler,75,2024-01-01T08:38:00+00:00
new york,6,6,flight,friends,3,34192.52,39458.94,650573.93,677467.28,agent,76,2024-01-01T08:45:00+00:00
dubai,3,2,bus,couple,3,3946.73,4052.63,49218.79,47868.9,traveler,77,2024-01-01T08:52:00+00:00
bali,7,1,flight,solo,2,7093.11,7455.4,92229.3,99191.65,traveler,78,2024-01-01T08:59:00+00:00
bali,3,1,flight,solo,1,2681.83,2470.75,44637.92,44170.06,traveler,79,2024-01-01T09:06:00+00:00
dubai,2,5,train,family,1,6503.75,7462.0,105388.68,96745.13,traveler,80,2024-01-01T09:13:00+00:00
jaipur,2,3,bus,friends,1,2472.28,2468.51,9432.31,10878.8,traveler,81,2024-01-01T09:20:00+00:00
paris,7,3,flight,family,3,26368.34,25782.91,444410.6,400703.22,traveler,82,2024-01-01T09:27:00+00:00
tokyo,9,4,bus,family,3,25539.49,25485.62,430341.77,477380.01,traveler,83,2024-01-01T09:34:00+00:00
jaipur,10,6,flight,family,1,34953.82,35185.72,119811.96,108804.47,traveler,84,2024-01-01T09:41:00+00:00
manali,7,7,train,family,1,24966.99,25542.3,89889.72,84113.03,traveler,85,2024-01-01T09:48:00+00:00
bali,6,7,bus,family,1,26500.31,21043.71,359477.4,388224.77,traveler,86,2024-01-01T09:55:00+00:00
singapore,12,6,train,family,1,57954.45,51583.13,717284.93,711200.08,agent,87,2024-01-01T10:02:00+00:00
goa,9,1,bus,solo,1,6451.78,7823.44,17982.65,17454.61,traveler,88,2024-01-01T10:09:00+00:00
bali,10,2,train,couple,2,16458.56,15832.8,194242.45,210178.17,agent,89,2024-01-01T10:16:00+00:00
jaipur,6,2,train,friends,2,6560.88,5797.63,18497.99,16753.75,traveler,90,2024-01-01T10:23:00+00:00
paris,6,8,flight,family,2,46354.46,41410.36,1032062.9,1130986.33,agent,91,2024-01-01T10:30:00+00:00
goa,11,8,train,family,2,57809.04,48533.99,207698.89,234576.03,agent,92,2024-01-01T10:37:00+00:00
jaipur,6,7,flight,family,1,23915.2,27077.28,89216.84,104231.0,traveler,93,2024-01-01T10:44:00+00:00
tokyo,6,2,train,friends,1,6826.02,7550.71,171985.27,159693.89,agent,94,2024-01-01T10:51:00+00:00
mumbai,2,1,train,solo,2,1613.11,1359.77,5000.0,5877.38,agent,95,2024-01-01T10:58:00+00:00
new york,7,2,flight,couple,1,15155.6,15808.8,246642.68,245543.82,agent,96,2024-01-01T11:05:00+00:00
jaipur,6,1,flight,solo,3,4342.27,5556.4,12658.32,13645.21,agent,97,2024-01-01T11:12:00+00:00
singapore,12,3,bus,family,1,31374.51,40223.58,310973.32,303392.75,agent,98,2024-01-01T11:19:00+00:00
paris,12,5,train,family,1,53190.16,61707.69,907367.04,884819.65,agent,99,2024-01-01T11:26:00+00:00
bali,4,8,bus,friends,1,16088.63,14589.32,284093.06,292649.48,traveler,100,2024-01-01T11:33:00+00:00
new york,5,4,bus,friends,1,15542.68,13592.95,233637.21,224150.03,agent,101,2024-01-01T11:40:00+00:00
mumbai,9,2,bus,couple,3,12703.78,11733.97,29353.19,26501.3,agent,102,2024-01-01T11:47:00+00:00
paris,6,8,flight,family,2,45800.96,53781.58,1043392.47,1140814.67,traveler,103,2024-01-01T11:54:00+00:00
manali,7,6,train,family,3,24159.79,21628.57,78610.77,85976.63,traveler,104,2024-01-01T12:01:00+00:00
jaipur,4,7,train,family,1,14490.67,14508.95,45017.23,49917.89,traveler,105,2024-01-01T12:08:00+00:00
dubai,2,6,train,family,1,7005.8,5904.07,126996.72,121145.17,traveler,106,2024-01-01T12:15:00+00:00
goa,6,2,train,couple,3,8390.85,7489.0,28972.58,30003.3,traveler,107,2024-01-01T12:22:00+00:00
delhi,10,1,train,solo,5,8686.11,8053.4,15863.85,14723.99,traveler,108,2024-01-01T12:29:00+00:00
new york,9,3,flight,friends,1,23496.15,24853.06,471200.66,460272.18,agent,109,2024-01-01T12:36:00+00:00
dubai,5,5,flight,family,2,17747.95,21858.38,305843.65,317296.28,agent,110,2024-01-01T12:43:00+00:00
paris,5,1,flight,solo,2,5919.96,5973.5,111210.66,105830.49,traveler,111,2024-01-01T12:50:00+00:00
mumbai,2,6,bus,friends,1,6018.1,5948.09,24688.34,22731.62,traveler,112,2024-01-01T12:57:00+00:00
goa,5,4,train,friends,1,11153.42,10461.85,49771.48,58645.59,traveler,113,2024-01-01T13:04:00+00:00
tokyo,8,7,flight,friends,2,32409.41,29082.82,1061074.44,1110223.74,traveler,114,2024-01-01T13:11:00+00:00
manali,12,6,flight,family,3,54463.22,51129.95,172617.37,185371.66,traveler,115,2024-01-01T13:18:00+00:00
jaipur,5,7,bus,friends,4,14351.04,12768.6,47749.26,51804.12,traveler,116,2024-01-01T13:25:00+00:00
singapore,10,4,train,friends,1,25646.81,26012.58,401009.8,427583.57,traveler,117,2024-01-01T13:32:00+00:00
paris,5,5,train,family,2,24276.73,24667.49,415384.74,453794.44,agent,118,2024-01-01T13:39:00+00:00
jaipur,5,5,train,friends,2,11800.47,14933.59,39352.95,40102.19,traveler,119,2024-01-01T13:46:00+00:00
bali,4,3,train,family,3,10898.31,8905.37,126844.8,120053.32,traveler,120,2024-01-01T13:53:00+00:00
tokyo,4,6,flight,friends,2,13323.05,11253.5,484969.95,529989.63,traveler,121,2024-01-01T14:00:00+00:00
bali,7,1,train,solo,4,6537.09,6777.49,69181.69,63821.75,traveler,122,2024-01-01T14:07:00+00:00
singapore,8,7,bus,family,1,39076.15,32335.13,482836.58,564597.76,agent,123,2024-01-01T14:14:00+00:00
goa,9,5,bus,family,4,34703.23,39200.3,90216.47,88002.84,traveler,124,2024-01-01T14:21:00+00:00
dubai,2,6,bus,friends,1,5427.66,6819.08,109215.06,103843.53,traveler,125,2024-01-01T14:28:00+00:00
mumbai,12,3,flight,family,1,28019.47,26925.02,91021.56,90414.11,traveler,126,2024-01-01T14:35:00+00:00
singapore,5,2,train,friends,1,7682.92,7144.14,106901.79,124503.62,agent,127,2024-01-01T14:42:00+00:00
jaipur,2,7,flight,family,1,7975.1,7561.21,34898.79,40889.23,traveler,128,2024-01-01T14:49:00+00:00
tokyo,4,3,bus,friends,4,6950.69,7382.66,154125.91,156547.12,traveler,129,2024-01-01T14:56:00+00:00
mumbai,3,1,flight,solo,1,2691.61,2974.8,8903.44,9907.72,traveler,130,2024-01-01T15:03:00+00:00
bali,9,6,bus,family,4,39895.09,45603.68,437724.19,408834.09,agent,131,2024-01-01T15:10:00+00:00
tokyo,7,1,flight,solo,2,5620.64,4847.0,134187.27,141464.91,traveler,132,2024-01-01T15:17:00+00:00
mumbai,2,7,train,family,2,9904.46,10102.08,33202.34,30974.15,agent,133,2024-01-01T15:24:00+00:00
bali,12,2,train,couple,2,18313.5,16888.36,229015.3,259639.85,agent,134,2024-01-01T15:31:00+00:00
dubai,5,3,flight,friends,2,9409.38,11849.91,181196.26,188862.21,agent,135,2024-01-01T15:38:00+00:00
jaipur,7,4,flight,family,1,19211.26,19129.99,57992.96,67364.02,traveler,136,2024-01-01T15:45:00+00:00
goa,11,7,flight,friends,1,41994.56,45572.81,241613.35,285029.49,traveler,137,2024-01-01T15:52:00+00:00
singapore,2,2,train,couple,1,3294.53,3515.25,50166.32,52783.02,traveler,138,2024-01-01T15:59:00+00:00
mumbai,3,4,flight,friends,1,7864.49,8472.69,35956.23,34712.05,agent,139,2024-01-01T16:06:00+00:00
paris,12,5,bus,family,2,53621.62,64449.58,778299.6,784605.42,traveler,140,2024-01-01T16:13:00+00:00
delhi,4,2,flight,friends,4,5958.6,4762.41,19039.86,19813.67,traveler,141,2024-01-01T16:20:00+00:00
paris,10,1,bus,solo,3,10661.53,10757.05,131054.02,137248.46,traveler,142,2024-01-01T16:27:00+00:00
goa,2,8,train,friends,1,7789.53,6701.08,46924.55,48400.67,agent,143,2024-01-01T16:34:00+00:00
tokyo,5,3,bus,friends,2,7923.16,9689.38,187155.43,213105.57,agent,144,2024-01-01T16:41:00+00:00
goa,6,4,flight,friends,1,15634.63,18368.96,78174.51,89452.53,traveler,145,2024-01-01T16:48:00+00:00
goa,2,7,train,family,1,9356.69,12151.18,40669.33,45106.13,traveler,146,2024-01-01T16:55:00+00:00
delhi,10,8,flight,family,2,58777.87,59407.54,173065.73,189389.35,agent,147,2024-01-01T17:02:00+00:00
goa,12,8,train,family,3,61445.77,59904.55,224039.1,210766.92,traveler,148,2024-01-01T17:09:00+00:00
singapore,2,8,bus,family,2,11115.18,9126.27,170470.05,194989.62,traveler,149,2024-01-01T17:16:00+00:00
delhi,12,6,flight,family,4,55736.68,56840.15,151579.21,147200.64,traveler,150,2024-01-01T17:23:00+00:00
goa,6,8,train,family,3,33812.99,38288.4,116936.47,110415.29,traveler,151,2024-01-01T17:30:00+00:00
tokyo,12,3,bus,friends,2,18983.21,18995.37,415436.57,402984.9,agent,152,2024-01-01T17:37:00+00:00
dubai,7,1,flight,solo,1,5482.94,5654.39,81563.48,78824.38,traveler,153,2024-01-01T17:44:00+00:00
new york,10,4,bus,friends,5,34162.0,44018.8,430735.93,467048.84,traveler,154,2024-01-01T17:51:00+00:00
jaipur,10,6,train,family,2,35027.07,28214.41,90700.27,97030.59,traveler,155,2024-01-01T17:58:00+00:00
new york,3,5,bus,friends,1,11161.58,12229.45,184817.76,184568.23,traveler,156,2024-01-01T18:05:00+00:00
delhi,9,4,flight,family,2,30035.34,33722.91,77446.93,87881.7,traveler,157,2024-01-01T18:12:00+00:00
delhi,9,7,train,friends,2,30515.83,30797.43,102579.77,108968.51,traveler,158,2024-01-01T18:19:00+00:00
singapore,11,3,train,friends,1,24731.7,21549.54,330048.61,309257.11,traveler,159,2024-01-01T18:26:00+00:00
delhi,10,6,flight,friends,2,37856.93,45876.76,130659.03,126994.26,agent,160,2024-01-01T18:33:00+00:00
goa,4,2,train,couple,3,6123.03,5854.43,20442.85,19057.8,agent,161,2024-01-01T18:40:00+00:00
paris,8,5,bus,family,4,40091.88,46369.97,526407.74,618204.74,agent,162,2024-01-01T18:47:00+00:00
goa,3,3,bus,family,1,6271.35,4937.04,20719.56,21760.52,traveler,163,2024-01-01T18:54:00+00:00
singapore,11,1,bus,solo,2,10318.46,11184.92,95419.34,107850.27,agent,164,2024-01-01T19:01:00+00:00
singapore,12,7,bus,family,1,56412.98,69940.93,712588.16,753343.97,agent,165,2024-01-01T19:08:00+00:00
